long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
-73.9699843570636,40.7729480440312,10G-AM-1006-01,10G,AM,10062018,1,Adult,Gray,NA,Gray+,NA,Above Ground,80,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.96998435706361 40.7729480440312),NA,19,4,19,13
-73.9656750232596,40.7833002587016,22E-PM-1014-01,22E,PM,10142018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9656750232596 40.7833002587016),NA,19,4,19,13
-73.9680204438195,40.7743882322654,13H-PM-1010-08,13H,PM,10102018,8,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9680204438195 40.77438823226541),NA,19,4,19,13
-73.9705977059862,40.7760413182276,13E-AM-1017-09,13E,AM,10172018,9,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9705977059862 40.776041318227605),NA,19,4,19,13
-73.9760749752948,40.7703284894392,5D-PM-1018-02,05D,PM,10182018,2,Adult,Gray,NA,Gray+,NA,Above Ground,2,On low fence,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9760749752948 40.7703284894392),NA,19,4,19,13
-73.9726381234747,40.7752694815985,12D-PM-1014-01,12D,PM,10142018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Above Ground,10,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9726381234747 40.7752694815985),NA,19,4,19,13
-73.9694066600156,40.7805662180672,18C-PM-1018-06,18C,PM,10182018,6,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Above Ground,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9694066600156 40.7805662180672),NA,19,4,19,13
-73.9800896621713,40.7684379810317,2B-PM-1013-03,02B,PM,10132018,3,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9800896621713 40.7684379810317),NA,19,4,19,13
-73.9596375907038,40.7907347708353,32E-AM-1007-05,32E,AM,10072018,5,Adult,Black,NA,Black+,NA,Above Ground,30,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9596375907038 40.79073477083531),NA,19,4,19,13
-73.959412243507,40.7917871123534,33E-AM-1014-01,33E,AM,10142018,1,Adult,Black,Cinnamon,Black+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.959412243507 40.7917871123534),NA,19,4,19,13
-73.9785114291288,40.7719779589449,6A-PM-1012-03,06A,PM,10122018,3,Adult,Cinnamon,White,Cinnamon+White,NA,Ground Plane,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9785114291288 40.7719779589449),NA,19,4,19,13
-73.9757436019432,40.7746064363227,10B-PM-1014-01,10B,PM,10142018,1,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,on lawn in front of a tree,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,stay on ground but went to other side of tree to hide from a dog,POINT (-73.9757436019432 40.7746064363227),NA,19,4,19,13
-73.9675697600155,40.7766797414463,15G-PM-1019-06,15G,PM,10192018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,scratching!,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9675697600155 40.7766797414463),NA,19,4,19,13
-73.9504693544225,40.797225436004,42H-AM-1019-01,42H,AM,10192018,1,Adult,Cinnamon,White,Cinnamon+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9504693544225 40.797225436004),NA,19,4,19,13
-73.9703149829421,40.7785583630323,16D-AM-1007-01,16D,AM,10072018,1,Adult,Gray,White,Gray+White,NA,Above Ground,3,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9703149829421 40.7785583630323),NA,19,4,19,13
-73.9683479943823,40.7815827298303,20C-PM-1018-01,20C,PM,10182018,1,Juvenile,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9683479943823 40.7815827298303),NA,19,4,19,13
-73.973552877209,40.7715638228207,7E-PM-1013-01,07E,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,Ground & Tree Base,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.973552877209 40.7715638228207),NA,19,4,19,13
-73.9709104380323,40.7769096957616,14D-AM-1014-16,14D,AM,10142018,16,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9709104380323 40.7769096957616),NA,19,4,19,13
-73.9560396440844,40.7945080361909,37E-AM-1013-01,37E,AM,10132018,1,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9560396440844 40.7945080361909),NA,19,4,19,13
-73.9717920322306,40.7763095393715,13D-AM-1014-10,13D,AM,10142018,10,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,POINT (-73.9717920322306 40.7763095393715),NA,19,4,19,13
-73.9688438058715,40.7703014325728,8I-AM-1006-05,08I,AM,10062018,5,Adult,Gray,White,Gray+White,NA,Above Ground,20,tree,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9688438058715 40.7703014325728),NA,19,4,19,13
-73.9633760173635,40.7818422357619,22G-PM-1018-03,22G,PM,10182018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,chilling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,observed,POINT (-73.96337601736352 40.7818422357619),NA,19,4,19,13
-73.970041085185,40.7834427580313,21A-AM-1019-07,21A,AM,10192018,7,Adult,Gray,NA,Gray+,NA,Above Ground,25,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.970041085185 40.783442758031306),NA,19,4,19,13
-73.9751615527833,40.767013871509,3F-AM-1006-03,03F,AM,10062018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Gray & Cinnamon selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,on the path,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,POINT (-73.9751615527833 40.767013871509),NA,19,4,19,13
-73.9591513028486,40.7835978067328,25I-PM-1007-01,25I,PM,10072018,1,Adult,Gray,NA,Gray+,NA,Above Ground,15,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9591513028486 40.7835978067328),NA,19,4,19,13
-73.9771847728747,40.7695971164981,4C-AM-1006-01,04C,AM,10062018,1,Juvenile,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9771847728747 40.7695971164981),NA,19,4,19,13
-73.9692563597762,40.770904999952,9H-PM-1018-05,09H,PM,10182018,5,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9692563597762 40.770904999952),NA,19,4,19,13
-73.9654409838612,40.7901338748522,29A-AM-1013-01,29A,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,climbed tree (oak),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,POINT (-73.9654409838612 40.7901338748522),NA,19,4,19,13
-73.9638270331336,40.7810450065235,21G-PM-1007-02,21G,PM,10072018,2,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9638270331336 40.7810450065235),NA,19,4,19,13
-73.9645147011741,40.7772566833799,17I-AM-1014-04,17I,AM,10142018,4,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,POINT (-73.9645147011741 40.7772566833799),NA,19,4,19,13
-73.9755560786227,40.7662992317575,2F-AM-1006-05,02F,AM,10062018,5,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,curious but shy,POINT (-73.9755560786227 40.7662992317575),NA,19,4,19,13
-73.9617250054003,40.7925390432044,33B-PM-1010-03,33B,PM,10102018,3,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,POINT (-73.9617250054003 40.7925390432044),NA,19,4,19,13
-73.9667474482967,40.7760643720793,15H-PM-1008-01,15H,PM,10082018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,NA,Above Ground,10,Oak tree,FALSE,TRUE,FALSE,FALSE,FALSE,watching me,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,observant,POINT (-73.9667474482967 40.7760643720793),NA,19,4,19,13
-73.9602609920814,40.7942883045566,35C-PM-1013-03,35C,PM,10132018,3,NA,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9602609920814 40.79428830455661),NA,19,4,19,13
-73.9602398690946,40.7910157676119,32D-PM-1006-04,32D,PM,10062018,4,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Above Ground,40,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9602398690946 40.7910157676119),NA,19,4,19,13
-73.9601259189134,40.7955350609057,36B-PM-1013-04,36B,PM,10132018,4,NA,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9601259189134 40.7955350609057),NA,19,4,19,13
-73.9555724351776,40.7967602498249,39E-AM-1018-03,39E,AM,10182018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9555724351776 40.7967602498249),NA,19,4,19,13
-73.9756894776708,40.7681638218212,4E-AM-1020-03,04E,AM,10202018,3,Adult,Cinnamon,Black,Cinnamon+Black,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9756894776708 40.7681638218212),NA,19,4,19,13
-73.9690968160819,40.769923269444,8I-AM-1006-08,08I,AM,10062018,8,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,6,tree,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not backing down,POINT (-73.9690968160819 40.769923269444),NA,19,4,19,13
-73.970138810251,40.770579297644,8H-PM-1014-02,08H,PM,10142018,2,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"froze & watched me,then went back to eating",POINT (-73.970138810251 40.770579297644),NA,19,4,19,13
-73.9605163698302,40.7914179994956,32D-PM-1006-05,32D,PM,10062018,5,Juvenile,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",NA,Ground Plane,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,POINT (-73.9605163698302 40.7914179994956),NA,19,4,19,13
-73.9720065066618,40.7764043782924,13C-AM-1010-04,13C,AM,10102018,4,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9720065066618 40.7764043782924),NA,19,4,19,13
